"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"150","3","3-Non optimal","11182.61","1471.20150426351","23693.201","50","180","Layout 6x3-10-1M","OVERHANG -4 - SDEFINS","50",
"151","3","3-Non optimal","11287.64","1453.34572402833","23983.988","30","90","Layout 4x3-10-0.6M","OVERHANG -4 - SDEFINS","50",
"152","3","3-Non optimal","11488.21","1453.04664321961","24517.924","40","90","Layout 6x5-10-0.6M","OVERHANG -1","60",
"153","3","3-Non optimal","11390.52","1444.6748951129","24303.930","35","270","Layout 4x6-10-0.8M","OVERHANG -4 - SDEFINS","80",
"154","3","3-Non optimal","11382.6","1455.32804799119","24265.482","15","0","Layout 5x5-10-0.6M","OVERHANG -4 - SDEFINS","50",
"155","3","3-Non optimal","11591.91","1467.18918824292","24787.363","15","90","Layout 6x5-10-1M","No shading","80",
"156","3","3-Non optimal","11452.71","1460.25471924818","24453.648","45","0","Layout 5x4-10-1M","OVERHANG -2","80",
"157","3","3-Non optimal","11219.56","1474.63910134577","23791.921","30","180","Layout 6x4-10-0.6M","OVERHANG -4 - SDEFINS","60",
"158","3","3-Non optimal","11250.46","1475.23481349297","23880.813","20","180","Layout 5x4-10-0.8M","OVERHANG -4 - SDEFINS","60",
"159","3","3-Non optimal","11641.02","1477.58977142933","24953.188","15","0","Layout 5x5-10-0.6M","No shading","50",
"160","3","3-Non optimal","11569.93","1463.15722090057","24740.673","35","90","Layout 5x5-10-1M","No shading","70",
"161","3","3-Non optimal","11414.06","1455.26747227065","24356.482","50","0","Layout 4x4-10-0.8M","OVERHANG -4 - SDEFINS","80",
"162","3","3-Non optimal","11660.43","1502.09537496236","24982.174","45","180","Layout 4x3-10-0.6M","No shading","60",
"163","3","3-Non optimal","11477.07","1485.53915019291","24488.281","35","180","Layout 4x3-10-1M","OVERHANG -1","50",
"164","3","3-Non optimal","11181.14","1449.8752648781","23687.319","20","90","Layout 6x6-10-1M","OVERHANG -4 - SDEFINS","70",
"165","3","3-Non optimal","11180.14","1450.88625678516","23681.004","45","90","Layout 6x3-10-1M","OVERHANG -4 - SDEFINS","50",
"166","3","3-Non optimal","11660.36","1504.20656938268","24976.477","45","180","Layout 4x6-10-0.8M","No shading","80",
"167","3","3-Non optimal","11632.86","1473.86858949779","24918.034","30","270","Layout 5x4-10-0.8M","No shading","50",
"168","3","3-Non optimal","11364.33","1444.27015440487","24230.039","20","270","Layout 5x6-10-0.8M","OVERHANG -4 - SDEFINS","70",
